ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
1337,RedBox Japanese Infantry (72020),Japanese,,,,,,,,,,
1338,BUM Rif War 1920-1927 (5100),Spanish,,,,,,,,,,
1339,Emhar Crested Knights (7210),British,English,,,,,,,,,
1340,Emhar British Infantry (7214),British,,,,,,,,,,
1341,Emhar French Infantry (7216),French,,,,,,,,,,
1342,Emhar Spanish Infantry (7215),Spanish,,,,,,,,,,
1343,A Call To Arms British Infantry of the 1970s (67),British,,,,,,,,,,
1344,Hegemony British Army Fusiliers (HG005),British,,,,,,,,,,
1346,Mars Lithuanian-Russian Heavy Infantry (72066),Lithuanian,Russian,,,,,,,,,
1347,BUM Far-West Gunsmith (2104),USA,,,,,,,,,,
1348,RedBox Scurrers (72046),British,English,,,,,,,,,
1349,Mars Spanish Field Artillery (72092),Spanish,,,,,,,,,,
1350,BUM Far-West Town Jail (2102),USA,,,,,,,,,,
1351,BUM Far-West Ticket Station (2103),USA,,,,,,,,,,
1352,Mars Imperial Field Artillery (72093),Austrian,German,Habsburg Imperial,,,,,,,,
1353,Caesar German Army in Stalingrad (HB09),German,,,,,,,,,,
1354,Caesar German Army Combat Team One (HB06),German,,,,,,,,,,
1355,Caesar German Army Combat Team Two (HB07),German,,,,,,,,,,
1356,Caesar German Army Sturmpioniere (HB08),German,,,,,,,,,,
1365,Heller US Infantry (49601),USA,,,,,,,,,,
1366,Heller French Infantry (49602),French,,,,,,,,,,
1367,Heller British Infantry (49604),British,,,,,,,,,,
1368,Heller Russian Infantry (49603),Russian,Soviet,,,,,,,,,
1369,Strelets French Foreign Legion in Skirmish (M150),French,,,,,,,,,,
1370,Strelets British Infantry in Attack (145),British,,,,,,,,,,
1371,Caesar Mycenaean Chariot (H021),Greek,Mycenaean,,,,,,,,,
1372,Caesar Aztec Warriors (H028),Aztec,Mexican,,,,,,,,,
1373,Caesar Ancient Chinese Shang vs Zhou Dynasty Troopers (H029),Chinese,,,,,,,,,,
1374,Plastic Soldier Russian 45mm Anti-Tank Gun (WW2G20001),Russian,Soviet,,,,,,,,,
1375,Zvezda Soviet 82mm Mortar with Crew (6109),Russian,Soviet,,,,,,,,,
1376,Caesar WWI French Infantry (1914) (H034),French,,,,,,,,,,
1377,Caesar German Army (H037),German,,,,,,,,,,
1378,Caesar WWII French Army (H038),French,,,,,,,,,,
1379,Mars German Paratroopers (Tropical Uniform) (72123),German,,,,,,,,,,
1380,Zvezda German 81mm Mortar and Crew (6111),Russian,Soviet,,,,,,,,,
1382,Mars US Infantry (Winter Uniform) (72124),USA,,,,,,,,,,
1383,Caesar Roman Legionary (Set II) (H051),Italian,Roman,,,,,,,,,
1384,Caesar WWII German Panzergrenadiers II (H053),German,,,,,,,,,,
1385,Caesar WWII US Army (Set 1) (H054),USA,,,,,,,,,,
1386,Caesar British Army (H055),British,,,,,,,,,,
1387,Caesar Partisans in Europe (H056),Belgian,Bosnian,Croatian,Czech,Dutch,French,Italian,Norwegian,Polish,Serbian,Yugoslavian
1388,Caesar Modern Israeli Defence Force (H057),Israeli,,,,,,,,,,
1389,Caesar Modern US Elite Force (H058),USA,,,,,,,,,,
1390,Caesar Modern French Army & Chinese PLA (H059),Chinese,French,,,,,,,,,
1392,Caesar Modern German Army (Bundeswehr) (H062),German,,,,,,,,,,
1393,Caesar Modern Militia (H063),Somalian,,,,,,,,,,
1394,Caesar Celt Warriors (H064),British,Celtic,French,,,,,,,,
1395,Caesar Greek Warriors (Hoplites) (H065),Greek,,,,,,,,,,
1396,Caesar Persian Warriors (H066),Iranian,Persian,,,,,,,,,
1397,Caesar German Nebelwerfer 42 & Raketenwerfer 43 with Crew (H093),German,,,,,,,,,,
1398,Caesar German Panzergrenadiers (Winter Greatcoat East) (CM7714),German,,,,,,,,,,
1399,Caesar German Panzergrenadier (Kursk) (CM7715),German,,,,,,,,,,
1400,Valiant Germans in Normandy 1944 (VM004),German,,,,,,,,,,
1401,Mars Turkish Heavy Infantry (72091),Ottoman,Turkish,,,,,,,,,
1402,Heller German Infantry (49605),German,,,,,,,,,,
1403,Heller German Panzergrenadiers (49606),German,,,,,,,,,,
1404,Ykreol French Staff 1940 (YK20),French,,,,,,,,,,
1405,Pegasus WWII Russian Support Weapons Teams in Greatcoats (7274),Russian,Soviet,,,,,,,,,
1406,Zvezda Soviet 85mm Anti Aircraft Gun 52-K (6148),Russian,Soviet,,,,,,,,,
1407,GerMan British Infantry in Egypt 1800 (0023),British,Indian,,,,,,,,,
1408,Pegasus WWII Russian Mortar Teams in Greatcoats (7273),Russian,Soviet,,,,,,,,,
1409,Pegasus WWII Russian Infantry in Winter Dress Set 2 (7272),Russian,Soviet,,,,,,,,,
1410,Pegasus WWII Russian Infantry in Greatcoats (7271),Russian,Soviet,,,,,,,,,
1411,Pegasus War Against Fascism (7267),German,Russian,Soviet,,,,,,,,
1412,Mars Medieval Arkbalista (72065),British,English,French,German,Italian,,,,,,
1413,Mars Teutonic Field Artillery (72064),Teutonic,,,,,,,,,,
1414,GerMan US Cavalry and Artillery (0007),USA,,,,,,,,,,
1415,Pegasus German Fallschirmjäger (7224),German,,,,,,,,,,
1416,RedBox Osman Akinci Set 2 (72093),Ottoman,Turkish,,,,,,,,,
1417,HaT French Light Ambulance (8103),French,,,,,,,,,,
1418,HaT French Pontoon (8108),French,,,,,,,,,,
1419,Orion USA Tank Crew Summer Dress (72049),USA,,,,,,,,,,
1420,HaT Celtic Chariot (8139),British,Celtic,French,Italian,,,,,,,
1421,Coates & Shine Indian Chariot (8143),Indian,,,,,,,,,,
1422,HaT German PaK 36 Anti-tank Gun (8149),German,,,,,,,,,,
1423,HaT German PaK 40 Anti-tank Gun (8150),German,,,,,,,,,,
1424,HaT Australian Light Horse (8153),Australian,,,,,,,,,,
1425,Strelets Italian Infantry in Defence (M153),Italian,,,,,,,,,,
1426,HaT German 7.62cm PaK 36(r) (8156),German,,,,,,,,,,
1427,HaT Polish Artillery Crew (8157),Polish,,,,,,,,,,
1428,HaT WWI US Artillery with 75mm Cannon (8158),USA,,,,,,,,,,
1429,HaT WWI French Artillery Crew (Early) (8159),French,,,,,,,,,,
1430,HaT Romanian Artillery Crew (8160),Romanian,,,,,,,,,,
1431,HaT WWI French 75mm Cannon (with Late War Crew) (8161),French,,,,,,,,,,
1432,HaT Hadendowah Camelry (8208),Sudanese,,,,,,,,,,
1433,HaT German 7.5cm IG 18 Gun (8163),German,,,,,,,,,,
1434,RedBox Turkish Siege Artillery Gun (72069),Ottoman,Turkish,,,,,,,,,
1435,RedBox Turkish Siege Artillery Mortar (72070),Ottoman,Turkish,,,,,,,,,
1436,HaT El Cid Andalusian Infantry (8168),Spanish,,,,,,,,,,
1437,HaT Bavarian Fusiliers (8169),Bavarian,German,,,,,,,,,
1438,HaT Brunswick Cavalry (8174),Brunswick,German,,,,,,,,,
1439,HaT Württemberg Cavalry (8175),German,W&uuml;rttemberg,,,,,,,,,
1440,HaT El Cid Spanish Infantry (8176),Spanish,,,,,,,,,,
1441,HaT Gatling Gun (8179),British,,,,,,,,,,
1442,HaT Gardner Gun (8180),British,,,,,,,,,,
1443,HaT British 17th Lancers (8181),British,,,,,,,,,,
1444,HaT Natal Native Horse (8182),South African,,,,,,,,,,
1445,HaT Late Roman Medium Cavalry (8183),Italian,Roman,,,,,,,,,
1446,HaT Greek Catapult (8184),Greek,,,,,,,,,,
1447,HaT Macedonian Hypaspists (8185),Macedonian,,,,,,,,,,
1448,HaT Peninsular War British Infantry (8186),British,,,,,,,,,,
1449,HaT 1806 Saxon Infantry (8187),German,Saxon,,,,,,,,,
1450,HaT Late Roman Light Cavalry (8188),Italian,Roman,,,,,,,,,
1451,HaT El Cid Almoravid Infantry (8189),Almoravid,Moroccan,,,,,,,,,
1452,HaT Zulus (8191),South African,Zulu,,,,,,,,,
1453,HaT 1806 Prussian Hussars (8195),German,Prussian,,,,,,,,,
1454,HaT 1806 Prussian Dragoons (8196),German,Prussian,,,,,,,,,
1455,HaT Napoleonic Prussian Hussars (8197),German,Prussian,,,,,,,,,
1456,HaT Austrian Grenadiers (8198),Austrian,,,,,,,,,,
1457,HaT WWI German Jaeger (8199),German,,,,,,,,,,
1458,HaT WWI German Infantry (8200),German,,,,,,,,,,
1459,HaT El Cid Spanish Light Cavalry (8201),Andalusian,Spanish,,,,,,,,,
1460,HaT Colonial Highlanders (8202),British,,,,,,,,,,
1461,HaT Colonial Wars Indian Infantry (8203),Indian,,,,,,,,,,
1462,HaT Austrian Grenzers (8204),Austrian,,,,,,,,,,
1463,HaT Frontier Light Horse (8206),South African,,,,,,,,,,
1464,Ultima Ratio Union Infantry - Irish Brigade (UR014),USA,,,,,,,,,,
1465,HaT British Mounted Infantry (8209),British,,,,,,,,,,
1466,HaT British Colonial Artillery (8210),British,,,,,,,,,,
1467,HaT El Cid Spanish Heavy Cavalry (8213),Spanish,,,,,,,,,,
1468,HaT French Voltigeurs (8218),French,,,,,,,,,,
1469,HaT French Light Infantry Chasseurs (Marching) (8219),French,,,,,,,,,,
1470,HaT 1808-1812 French Light Infantry Carabiniers (8220),French,,,,,,,,,,
1471,HaT Sassanid Levy Infantry (8205),Iranian,Iraqi,Sassanian,,,,,,,,
1472,RedBox Musketeers of the King of France (72145),French,,,,,,,,,,
1473,HaT Sassanid Clibanarii (8285),Iranian,Iraqi,Sassanian,,,,,,,,
1474,HaT Sassanid Light Cavalry (8283),Iranian,Sassanian,,,,,,,,,
1475,Strelets Highlanders in Square (287),British,,,,,,,,,,
1476,HaT Swedish Artillery (8231),Swedish,,,,,,,,,,
1477,RedBox Byzantine Clibanarii Set 1 (72151),Byzantine,Turkish,,,,,,,,,
1478,Strelets Russian Infantry in Overcoats Shoulder Arms (218),Russian,,,,,,,,,,
1479,RedBox Irish Mounted Troops (72055),Irish,,,,,,,,,,
1480,Orion Soviet Assault Group 1945 (72048),Russian,Soviet,,,,,,,,,
1483,HaT WW2 German Field Wagon (8261),German,,,,,,,,,,
1484,Strelets Highlanders' Firing Line (279),British,,,,,,,,,,
1485,Waterloo 1815 Italian Mountain Troops 'Alpini' (057),Italian,,,,,,,,,,
1486,Zvezda Russian Infantry Command (6815),Russian,,,,,,,,,,
1487,Zvezda French Line Infantry Command (6816),French,,,,,,,,,,
1488,Zvezda French Foot Artillery (6810),French,,,,,,,,,,
1489,IMEX American Infantry (535),USA,,,,,,,,,,
1490,RedBox Samurai Artillery Set 1 (72090),Japanese,,,,,,,,,,
1491,Zvezda Soviet Anti-Tank Gun ZIS 3 (6253),Russian,Soviet,,,,,,,,,
1492,Zvezda Russian Dragoons (6811),Russian,,,,,,,,,,
1493,Strelets Roman Senate 2 (138),Italian,Roman,,,,,,,,,
1494,Zvezda German Anti-Tank Gun PaK 40 (6257),German,,,,,,,,,,
1495,Zvezda Russian Foot Artillery (6809),Russian,,,,,,,,,,
1496,Zvezda Russian Line Infantry (6808),Russian,,,,,,,,,,
1497,Strelets Tecumseh (M107),USA,,,,,,,,,,
1498,Strelets Republican Roman Legion Ranks (M099),Italian,Roman,,,,,,,,,
1499,Orion German WWII Panzer Soldiers Basic Set 2 (72047),German,,,,,,,,,,
1500,Mars French Infantry & Guards (72083),French,,,,,,,,,,
1501,Zvezda Soviet Headquarters (6132),Russian,Soviet,,,,,,,,,
1502,Zvezda Romanian Infantry (6163),Romanian,,,,,,,,,,
1503,Zvezda French Dragoons (6812),French,,,,,,,,,,
1504,Mars Crimean Tatar Infantry (72084),Crimean,Tatar,Ukrainian,,,,,,,,
1505,First To Fight Polish Command (PL1939-023),Polish,,,,,,,,,,
1506,Heller British Commandos (49632),British,,,,,,,,,,
1507,Italeri American Infantry (6120),USA,,,,,,,,,,
1508,Italeri German Motorcycles (6121),German,,,,,,,,,,
1509,Italeri Italian 90/53 Gun with Crew (6122),Italian,,,,,,,,,,
1510,Italeri Chinese Cavalry (6123),Chinese,,,,,,,,,,
1511,Italeri Arab Warriors (6126),Arab,Egyptian,Iraqi,Syrian,Turkish,,,,,,
1512,Legio French Cuirassiers (P-720001),French,,,,,,,,,,
1513,Zvezda Soviet Frontier Guards (6144),Russian,Soviet,,,,,,,,,
1514,Lucky Toys Vlad Tzepes (TL0011),Romanian,Wallacian,,,,,,,,,
1515,Lucky Toys Medieval Turks (Mehmed II) (TL0012),Ottoman,Turkish,,,,,,,,,
1516,Zvezda Soviet Air Force Ground Crew (6187),Russian,Soviet,,,,,,,,,
1520,Mars Arquebusiers (72027),Austrian,British,English,French,German,Habsburg Imperial,Italian,Swedish,,,
1521,Mars Russian Uhlans (72028),Russian,,,,,,,,,,
1522,Mars Russian Dragoons (72029),Russian,,,,,,,,,,
1523,Mars Medieval Baltic Crusades (72030),German,,,,,,,,,,
1524,Mars Swedish Army with Culverin (72031),Swedish,,,,,,,,,,
1525,Hasegawa U.S. Aerospace Ground Equipment Set (35006),USA,,,,,,,,,,
1526,Orion Modern Israeli Army (Set 1) (72012),Israeli,,,,,,,,,,
1527,Orion Turkish Cavalry Sipahi (72020),Ottoman,Turkish,,,,,,,,,
1528,Orion Byzantine Infantry (12th - 15th Century) (72027),Albanian,Bulgarian,Byzantine,,,,,,,,
1530,Pegasus WWI French Infantry (7199),French,,,,,,,,,,
1532,Pegasus WWII Russian Infantry (Summer Dress) (7268),Russian,Soviet,,,,,,,,,
1533,Pegasus WWII Russian Infantry (Winter Dress) (7269),Russian,Soviet,,,,,,,,,
1538,Pegasus WWII French Infantry (7306),French,,,,,,,,,,
1539,RedBox US Marines (72016),USA,,,,,,,,,,
1540,RedBox Russian Sailors (72019),Russian,,,,,,,,,,
1541,RedBox British Royal Marine Light Infantry (72022),British,,,,,,,,,,
1542,RedBox German Sea Battalion (72023),German,,,,,,,,,,
1543,RedBox German East Asia Brigade (72024),German,,,,,,,,,,
1544,RedBox French Sailors (72025),French,,,,,,,,,,
1545,RedBox French Marines (72026),French,,,,,,,,,,
1546,RedBox French Infantry (72027),French,,,,,,,,,,
1547,RedBox Civilian Volunteers (72028),British,Dutch,French,German,Italian,Russian,USA,,,,
1548,RedBox Italian Sailors (72029),Italian,,,,,,,,,,
1549,RedBox Austrian Sailors (72031),Austrian,,,,,,,,,,
1550,RedBox Chinese Regiment (72032),British,Chinese,,,,,,,,,
1551,RedBox Italian Bersaglieri (72030),Italian,,,,,,,,,,
1552,RedBox British Naval Brigade (72033),British,,,,,,,,,,
1553,RedBox Gurkhas (72034),Nepalese,,,,,,,,,,
1554,RedBox Chinese Boxers (72035),Chinese,,,,,,,,,,
1555,RedBox Gangsters (72036),USA,,,,,,,,,,
1556,Strelets Sarmatian Cavalry (020),Sarmatian,Ukrainian,,,,,,,,,
1557,Strelets French African Chasseurs (049),French,,,,,,,,,,
1558,Strelets Highlanders 1898-1902 (M051),British,,,,,,,,,,
1562,Strelets Jacobites (2) (068),British,Scottish,,,,,,,,,
1563,Strelets Mounted Praetorians (069),Italian,Roman,,,,,,,,,
1564,Strelets Norman Cavalry on the March (070),French,Norman,,,,,,,,,
1565,Strelets Austro-Hungarian Honved (074),Austrian,Habsburg Imperial,Hungarian,,,,,,,,
1566,Strelets British Cavalry (075),British,,,,,,,,,,
1567,Strelets French Artillery (Egypt) (078),French,,,,,,,,,,
1568,Strelets British Artillery (Egypt) (079),British,,,,,,,,,,
1569,Strelets French Uhlans in Summer Uniform (102),French,,,,,,,,,,
1570,Strelets Dacian Cavalry (103),Dacian,Romanian,,,,,,,,,
1572,Strelets French Cuirassiers in Attack (105),French,,,,,,,,,,
1573,Strelets French Early Carabiniers (106),French,,,,,,,,,,
1574,Strelets Thin Red Line (903),British,Ottoman,Russian,Turkish,,,,,,,
1575,Strelets Roman Legion in Advance (M020),Italian,Roman,,,,,,,,,
1576,Strelets Dacian Heavy Infantry (M021),Dacian,Romanian,,,,,,,,,
1577,Strelets Dacian Light Infantry (M022),Dacian,Romanian,,,,,,,,,
1578,Strelets French Infantry on the March (1) (M023),French,,,,,,,,,,
1579,Strelets WWI Austrian Infantry (M024),Austrian,,,,,,,,,,
1581,Strelets French Infantry in Advance (M026),French,,,,,,,,,,
1582,Strelets Russian Peasant Levy in Winter Dress (M027),Russian,,,,,,,,,,
1583,Strelets Dismounted Mongols (M028),Mongolian,,,,,,,,,,
1585,Valdemar Teutonic Infantry on the March (VA110),German,,,,,,,,,,
1587,Valdemar Russian Hird (VA113),Russian,,,,,,,,,,
1588,Waterloo 1815 Sioux (023),USA,,,,,,,,,,
1589,Waterloo 1815 US Marines (027),USA,,,,,,,,,,
1590,Waterloo 1815 Napoleonic Mounted Line Officers (028),British,Brunswick,Dutch,French,German,Nassau,,,,,
1591,HaT WWI Belgian Infantry (8290),Belgian,,,,,,,,,,
1592,Waterloo 1815 Italian Infantry Support Group (034),Italian,,,,,,,,,,
1593,Waterloo 1815 Japanese 70mm Gun (003),Japanese,,,,,,,,,,
1594,Waterloo 1815 Italian 149/40 Artillery (024),Italian,,,,,,,,,,
1595,Zvezda French Cuirassiers 1807-1815 (8037),French,,,,,,,,,,
1596,Zvezda Russian Guard Heavy Artillery (8045),Russian,,,,,,,,,,
1597,Zvezda Russian Hussars (8055),Russian,,,,,,,,,,
1598,Zvezda Russian Artillery of Peter the Great (8058),Russian,,,,,,,,,,
1600,Zvezda Austrian Musketeers and Pikemen (8061),Austrian,Habsburg Imperial,,,,,,,,,
1601,Zvezda Russian Foot Warriors (8062),Russian,,,,,,,,,,
1602,Caesar German Mountain Troops (H067),German,,,,,,,,,,
1603,LW Spanish Army 1500-1600 (2016),Spanish,,,,,,,,,,
1604,LW Russian Artillery 1500-1700 (2018),Russian,,,,,,,,,,
1605,Tragik Dead French Infantry 1809/15 (1),French,,,,,,,,,,
1606,Tragik Dead Prussian Landwehr 1813/15 (2),German,Prussian,,,,,,,,,
1607,RedBox Osman Akinci Set 1 (72092),Ottoman,Turkish,,,,,,,,,
1608,RedBox Samurai Artillery Set 2 (72091),Japanese,,,,,,,,,,
1609,Strelets Confederate Infantry Standing (156),Confederate,USA,,,,,,,,,
1610,Orion Slavic Warriors (72028),Albanian,Bosnian,Polish,Russian,Serbian,Slav,Ukrainian,,,,
1611,Orion Early Rus Warriors (72029),Russian,,,,,,,,,,
1613,Odemars Operation Antarctica - Haunebu (CREA04),German,,,,,,,,,,
1614,Co.Ma. Elite Mountain Troops/Alpini (410),Italian,,,,,,,,,,
1615,GerMan Catalan Artillery & Barricade (1001),Spanish,,,,,,,,,,
1618,Dark Dream Studio European Knights (72005),British,French,German,Italian,Spanish,,,,,,
1619,Strelets Jacobites (1) (066),British,Scottish,,,,,,,,,
1621,HaT WWI Skoda 75mm Mountain Gun (8244),Austrian,German,,,,,,,,,
1622,HaT Deport 75mm Gun (8242),Italian,,,,,,,,,,
1623,Linear-A Goths (Set 1) (058),Bulgarian,Goth,Romanian,,,,,,,,
1624,Strelets Obice da 75/18 Mod 35 Howitzer & Italian Crew (282),Italian,,,,,,,,,,
1625,HaT Carthaginian Veterans (8212),Carthaginian,,,,,,,,,,
1628,Strelets Ancient Germans (M035),German,,,,,,,,,,
1631,Valdemar Croatian Light Cavalryman (VI003),Croatian,,,,,,,,,,
1632,Valdemar Welsh Crusader (VI002),Welsh,,,,,,,,,,
1638,BUM International Brigade Artillery (5042),Spanish,,,,,,,,,,
1639,Orion Khazar Army (72030),Georgian,Khazar,Russian,Ukrainian,,,,,,,
1640,Zvezda Zaporozhian Cossacks (8064),Ukrainian,,,,,,,,,,
1641,Strelets Court and Army of Peter I (905),Russian,,,,,,,,,,
1642,Strelets Russian Dragoons in Winter Dress (067),Russian,,,,,,,,,,
1643,Strelets Dacians Before Battle (M040),Dacian,Romanian,,,,,,,,,
1644,Strelets Normans on the March (M039),French,Norman,,,,,,,,,
1645,Strelets Roman Infantry in Winter Dress (M038),Italian,Roman,,,,,,,,,
1646,Strelets Roman Velites (M037),Italian,Roman,,,,,,,,,
1647,Strelets Scottish Schiltron (M036),British,Scottish,,,,,,,,,
1648,Strelets French Line Infantry (M041),French,,,,,,,,,,
1649,Fujimi German Anti-tank 88mm Flak 18 (76026),German,,,,,,,,,,
1650,Italeri Union Infantry (6177),USA,,,,,,,,,,
1658,HaT WWI German Colonial Infantry (8123),Burundi,Rwandan,Tanzanian,,,,,,,,
1659,HaT WWI Serbian Infantry (8122),Serbian,,,,,,,,,,
1661,Strelets Praetorians Ranks (M108),Italian,Roman,,,,,,,,,
1663,Strelets Lawrence of Arabia (115),Arab,,,,,,,,,,
1670,HaT Napoleonic Spanish Light Infantry (8300),Spanish,,,,,,,,,,
1672,Waterloo 1815 French Line Infantry 1815 (056),French,,,,,,,,,,
1673,Ykreol French Foreign Legion at Bir Hakeim 1942 (YK11),French,,,,,,,,,,
1674,Pobeda Finnish Artillery (72301),Finnish,,,,,,,,,,
1675,Pobeda Russian Army (72310),Russian,Soviet,,,,,,,,,
1676,Pobeda Russian Artillery (72311),Russian,Soviet,,,,,,,,,
1678,Preiser Christopher Columbus in America 1492 (16341),Spanish,,,,,,,,,,
1679,Preiser Modern German Infantry (16506),German,,,,,,,,,,
1680,Preiser Modern German Sentries and Tank Crew (16510),German,,,,,,,,,,
1681,Preiser German Horse-Drawn Supply Wagon (16512),German,,,,,,,,,,
1682,Preiser German Field Howitzer (16514),German,,,,,,,,,,
1683,Preiser German Tank Crew (16515),German,,,,,,,,,,
1684,Strelets Red Army Winter War (M063),Russian,Soviet,,,,,,,,,
1685,"Preiser General, Runner and Radio Operators (16536)",German,,,,,,,,,,
1686,Preiser German Howitzer Gun Crew (16537),German,,,,,,,,,,
1687,Preiser German PaK Gun Crew (16539),German,,,,,,,,,,
1688,Preiser German Trench Mortar Crew (16540),German,,,,,,,,,,
1689,Preiser German Fighting Mortar Crew (16541),German,,,,,,,,,,
1690,Preiser Soviet Tank Crew 1942 (16546),Russian,Soviet,,,,,,,,,
1691,Preiser Horse and Hand-Drawn Infantry Carts (16547),German,,,,,,,,,,
1694,Preiser Modern German Army Band (16550),German,,,,,,,,,,
1696,Mars Polish Infantry Mercenaries (Haiduks) (72033),Polish,,,,,,,,,,
1697,Preiser German Mortar and Crew (72517),German,,,,,,,,,,
1698,Preiser German PaK40 Crew (72518),German,,,,,,,,,,
1699,"Preiser Soviet Tank Crewmen, 1942 (72526)",Russian,Soviet,,,,,,,,,
1701,"Preiser Military Police, Vienna 1945 (72529)",British,French,Russian,Soviet,USA,,,,,,
1702,Preiser Tank Crew US Army 2000 (72530),USA,,,,,,,,,,
1703,Preiser Refugees (72531),Belgian,Czech,Dutch,French,German,Polish,Russian,Soviet,,,
1704,Preiser German Military Police (72532),German,,,,,,,,,,
1705,Preiser German Riflemen Lined Up (72533),German,,,,,,,,,,
1706,Preiser German Troops Lined Up with Mortar (72536),German,,,,,,,,,,
1707,RedBox Stradioti Set 2 (72075),Albanian,Greek,Serbian,,,,,,,,
1708,RedBox Jinetes Set 1 (72076),Spanish,,,,,,,,,,
1709,Revell Pilots and Ground Crew: German Airforce WWII (02400),German,,,,,,,,,,
1710,Revell Pilots and Ground Crew: Royal Air Force (02401),British,,,,,,,,,,
1711,HaT El Cid Andalusian Light Cavalry (8214),Andalusian,Spanish,,,,,,,,,
1712,Ykreol Project R.F.Z. (Set 1) (YK05),German,,,,,,,,,,
1713,Zvezda Russian Noble Cavalry (8065),Russian,,,,,,,,,,
1714,Zvezda Swedish Artillery of Charles XII (8066),Swedish,,,,,,,,,,
1716,"Zvezda Prussian Grenadiers of Frederick II ""the Great"" (8071)",German,Prussian,,,,,,,,,
1717,Zvezda Lifeguard Polish Uhlans (8075),French,Polish,,,,,,,,,
1718,Zvezda Soviet Infantry Platoon (8077),Russian,Soviet,,,,,,,,,
1719,Zvezda German Infantry Platoon (8078),German,,,,,,,,,,
1720,Strelets British Grenadiers in Winter Dress (M029),British,,,,,,,,,,
1721,Strelets British Light Infantry (M030),British,,,,,,,,,,
1722,Strelets RKKA Infantry 1939-41 (M031),Russian,Soviet,,,,,,,,,
1723,Strelets British Grenadiers in Summer Dress (M032),British,,,,,,,,,,
1724,Strelets Roman Auxiliaries Before Battle (M033),Italian,Roman,,,,,,,,,
1725,Strelets Roman Auxiliaries Advancing (M034),Italian,Roman,,,,,,,,,
1726,Strelets From Narva to Poltava (904),Swedish,,,,,,,,,,
1727,Pegasus California Gold Miners (7050),USA,,,,,,,,,,
1729,Italeri Confederate Infantry (6178),Confederate,USA,,,,,,,,,
1730,Italeri Anti Tank Teams (6131),British,German,Russian,Soviet,USA,,,,,,
1731,Strelets French Army Sledge Train 2 (134),French,,,,,,,,,,
1732,Italeri US Infantry (Winter Uniform) (6133),USA,,,,,,,,,,
1733,Italeri German Paratroops (Tropical Uniform) (6134),German,,,,,,,,,,
1734,Italeri French Imperial Guard Artillery (6135),French,,,,,,,,,,
1735,Italeri Scots Infantry (6136),British,,,,,,,,,,
1736,Italeri Late Imperial Legion (6137),Italian,Roman,,,,,,,,,
1737,Italeri Gothic Cavalry (6138),Goth,,,,,,,,,,
1738,HaT Austrian Ammunition Wagon (8225),Austrian,,,,,,,,,,
1739,HaT Austrian Cavalry Artillery (8226),Austrian,,,,,,,,,,
1740,HaT 1805 French Artillery (8229),French,,,,,,,,,,
1741,HaT 1806 Prussian Artillery (8230),German,Prussian,,,,,,,,,
1742,HaT Württemberg Artillery (8232),German,W&uuml;rttemberg,,,,,,,,,
1743,HaT WWI British Heavy Weapons (8177),British,,,,,,,,,,
1744,HaT WWI ANZAC Heavy Weapons (8190),Australian,New Zealand,,,,,,,,,
1745,HaT British Mortars (8227),British,,,,,,,,,,
1746,HaT WW2 British Machine Guns (8228),British,,,,,,,,,,
1747,Emhar Portuguese Infantry and Cazadores (7217),Portuguese,,,,,,,,,,
1748,HaT Zulu War British Infantry (8237),British,,,,,,,,,,
1749,RedBox Byzantine Light Cavalry Set 2 (72138),Byzantine,Turkish,,,,,,,,,
1750,RedBox Byzantine Clibanarii Set 2 (72152),Byzantine,Turkish,,,,,,,,,
1751,RedBox Byzantine Cataphracts Set 1 (72153),Byzantine,Turkish,,,,,,,,,
1752,HaT Natal Native Contingent (8192),South African,Zulu,,,,,,,,,
1753,HaT Austrian Landwehr (8233),Austrian,,,,,,,,,,
1754,Strelets Spartacus Army Before Battle (M110),Celtic,French,German,Greek,Italian,,,,,,
1757,Valdemar Cuman Cavalry (VA112),Cuman,Ukrainian,,,,,,,,,
1770,GerMan Siege of Barcelona Catalans (1000),Spanish,,,,,,,,,,
1771,GerMan Army of Philip V (1010),Spanish,,,,,,,,,,
1773,GerMan Hungarian Hussars and Artillery (1003),Hungarian,,,,,,,,,,
1774,GerMan Catalan Cavalry (1004),Spanish,,,,,,,,,,
1775,RedBox English Sailors in Battle 16-17th Century (72082),British,English,,,,,,,,,
1776,GerMan Battle of Almenar British Army (1020),British,,,,,,,,,,
1777,GerMan Battle of Talamanca Catalan Army (1022),Spanish,,,,,,,,,,
1778,Strelets IJA Infantry in Defence (M115),Japanese,,,,,,,,,,
1779,GerMan Bourbon Artillery and Staff (1011),French,Spanish,,,,,,,,,
1780,GerMan Cavalry of Phillip V Dragoons of Marimon (1012),Spanish,,,,,,,,,,
1781,RedBox English Sailors Artillery 16-17th Century (72083),British,English,,,,,,,,,
1782,GerMan Castell de Montjuic (1023),French,,,,,,,,,,
1783,Zvezda German Airforce Ground Crew (6188),German,,,,,,,,,,
1784,HaT Schutztruppe (8270),German,,,,,,,,,,
1785,HaT Askari (8268),Cameroonian,Tanzanian,,,,,,,,,
1786,HaT Ruga-Ruga (8269),Kenyan,Tanzanian,,,,,,,,,
1787,Ultima Ratio Carthaginian Army: Hannibal's Veterans (UR019),Carthaginian,Tunisian,,,,,,,,,
